
  Composition: In16O24 (40 atoms)
  Initial cell: a=8.7529  b=8.7529  c=8.7529
  Volume: 670.59 A^3  Density: 5.50 g/cm3
  Optimizer: LBFGS  fmax=0.05  max_steps=500
  Cell filter: cubic
  [cell] Cubic: isotropic volume only, shape fixed

   Step      Energy(eV)   Fmax(eV/A)        a(A)        b(A)        c(A)     Vol(A3)
    128     -215.384725     0.252167    8.677403    8.677403    8.677403    653.3852
    129     -215.390873     0.183838    8.674928    8.674928    8.674928    652.8262
    130     -215.397525     0.143888    8.671456    8.671456    8.671456    652.0428
    131     -215.403763     0.215100    8.668935    8.668935    8.668935    651.4742
    132     -215.410640     0.265572    8.667019    8.667019    8.667019    651.0424
    133     -215.416245     0.135644    8.666790    8.666790    8.666790    650.9907
    134     -215.420992     0.150117    8.667084    8.667084    8.667084    651.0570
    135     -215.424907     0.228500    8.667836    8.667836    8.667836    651.2265
    136     -215.429067     0.201915    8.667666    8.667666    8.667666    651.1882
    137     -215.433579     0.176753    8.667064    8.667064    8.667064    651.0526
    138     -215.438446     0.130399    8.665540    8.665540    8.665540    650.7092
    139     -215.442531     0.101844    8.664965    8.664965    8.664965    650.5796
    140     -215.445755     0.102339    8.664613    8.664613    8.664613    650.5004
    141     -215.448208     0.084168    8.665887    8.665887    8.665887    650.7874
    142     -215.450324     0.118484    8.666762    8.666762    8.666762    650.9844
    143     -215.452405     0.084098    8.667603    8.667603    8.667603    651.1740
    144     -215.454621     0.160219    8.668608    8.668608    8.668608    651.4004
    145     -215.456487     0.069840    8.668122    8.668122    8.668122    651.2910
    146     -215.458173     0.083795    8.669296    8.669296    8.669296    651.5557
    147     -215.459607     0.153077    8.668600    8.668600    8.668600    651.3988
    148     -215.460909     0.066453    8.670027    8.670027    8.670027    651.7205
    149     -215.462095     0.065045    8.670723    8.670723    8.670723    651.8773
    150     -215.463151     0.067887    8.671837    8.671837    8.671837    652.1286
    151     -215.464074     0.076194    8.672371    8.672371    8.672371    652.2492
    152     -215.464828     0.053294    8.672505    8.672505    8.672505    652.2794
    153     -215.465482     0.043100    8.672291    8.672291    8.672291    652.2312
  -------------------------------------------------------------------------------------

  Converged after 153 steps!  Fmax = 0.043100 eV/A
