
  Composition: O16Ti8 (24 atoms)
  Initial cell: a=6.9213  b=6.9213  c=6.9213
  Volume: 331.56 A^3
  Optimizer: LBFGS  fmax=0.1  max_steps=300

   Step      Energy(eV)   Fmax(eV/A)        a(A)        b(A)        c(A)     Vol(A3)
    122     -221.471146     0.234585    6.634231    7.840182    7.205457    364.1888
    123     -221.477280     0.197388    6.622458    7.851082    7.213816    364.0040
    124     -221.486633     0.171440    6.604186    7.859142    7.223111    363.3154
    125     -221.491653     0.178734    6.589086    7.864514    7.230554    362.6610
    126     -221.497055     0.156975    6.572508    7.865120    7.236320    361.7362
    127     -221.503693     0.207227    6.531418    7.870040    7.251721    359.5643
    128     -221.508057     0.218659    6.520891    7.871711    7.254877    359.0347
    129     -221.516190     0.154591    6.509483    7.874793    7.256891    358.4106
    130     -221.522690     0.185853    6.473439    7.888870    7.270753    356.6805
    131     -221.526855     0.212074    6.451398    7.895872    7.276739    355.5168
    132     -221.532867     0.219120    6.466565    7.889725    7.264330    356.0568
    133     -221.538910     0.199026    6.454286    7.892042    7.267513    355.2564
    134     -221.545441     0.134902    6.441697    7.889147    7.266886    354.2623
    135     -221.552216     0.146885    6.427875    7.887655    7.264580    353.1910
    136     -221.558578     0.179193    6.416631    7.887804    7.263084    352.4010
    137     -221.568878     0.245296    6.394142    7.893266    7.263451    351.0413
    138     -221.580353     0.275201    6.377657    7.895878    7.261965    349.9833
    139     -221.592407     0.205860    6.367787    7.899121    7.259611    349.3466
    140     -221.604431     0.159096    6.367295    7.901203    7.255386    349.2848
    141     -221.614059     0.189354    6.352881    7.903339    7.254718    348.3416
    142     -221.622589     0.171114    6.349843    7.904376    7.251836    348.1628
    143     -221.634583     0.191642    6.333797    7.900829    7.246800    346.9421
    144     -221.645721     0.225580    6.316235    7.901556    7.242518    345.8239
    145     -221.663910     0.252292    6.274611    7.900544    7.238158    343.0789
    146     -221.677612     0.384552    6.226690    7.904077    7.236060    340.0006
    147     -221.691620     0.411962    6.182184    7.904786    7.228186    337.0298
    148     -221.711639     0.389985    6.171603    7.907038    7.226157    336.3954
    149     -221.740570     0.487802    6.121800    7.906584    7.222568    333.0189
    150     -221.778717     0.453649    6.130250    7.893313    7.215508    333.1547
    151     -221.815384     0.494679    6.100964    7.896234    7.217240    331.1811
    152     -221.871399     0.485243    6.049522    7.879699    7.204757    326.8792
    153     -221.913086     0.533375    5.999804    7.869386    7.193298    322.8239
    154     -221.971390     0.525186    5.982145    7.838156    7.176034    320.2394
    155     -222.015686     0.446420    5.968212    7.830390    7.168942    318.6979
    156     -222.068176     0.326954    5.961854    7.824658    7.167084    318.0331
    157     -222.103271     0.376216    5.949382    7.815021    7.164281    316.7505
    158     -222.133484     0.438156    5.932229    7.812813    7.172431    315.7412
    159     -222.165649     0.345486    5.929123    7.818291    7.189429    316.0322
    160     -222.188995     0.406244    5.893402    7.811288    7.194673    313.4475
    161     -222.218201     0.352411    5.906367    7.814300    7.204234    314.7226
    162     -222.244202     0.277524    5.901361    7.813185    7.208556    314.3853
    163     -222.270630     0.245713    5.889039    7.797585    7.211265    313.2125
    164     -222.286560     0.225337    5.880463    7.793696    7.216844    312.6051
    165     -222.300964     0.245188    5.870319    7.779227    7.218691    311.6240
    166     -222.311615     0.208410    5.874450    7.781483    7.220196    312.0633
    167     -222.329254     0.213441    5.875917    7.777055    7.223867    312.2102
    168     -222.341339     0.277966    5.876930    7.770477    7.226171    312.2073
    169     -222.353027     0.255299    5.872092    7.758900    7.229886    311.6900
    170     -222.361053     0.182432    5.870872    7.753455    7.235431    311.6268
    171     -222.369141     0.161511    5.866036    7.749517    7.239495    311.3154
    172     -222.381470     0.170992    5.860369    7.741312    7.247347    310.9755
    173     -222.390015     0.233017    5.849971    7.729716    7.256122    310.2533
    174     -222.395386     0.166816    5.852449    7.726160    7.256606    310.3958
    175     -222.399948     0.120600    5.851187    7.722225    7.261157    310.3084
    176     -222.402893     0.106395    5.852112    7.719310    7.263217    310.3724
    177     -222.407532     0.116263    5.851184    7.712781    7.270134    310.3110
    178     -222.410019     0.105434    5.850023    7.707885    7.272557    310.1489
    179     -222.414459     0.095087    5.849731    7.701188    7.278122    310.0467
  -------------------------------------------------------------------------------------

  Converged after 179 steps!  Fmax = 0.095087 eV/A
       Step     Time          Energy          fmax
LBFGS:    0 23:06:10     -180.750809        6.619217
LBFGS:    1 23:06:10     -184.793335        6.039452
LBFGS:    2 23:06:10     -191.331177        5.363496
LBFGS:    3 23:06:11     -195.399536       14.364385
LBFGS:    4 23:06:11     -198.993896       11.113626
LBFGS:    5 23:06:11     -202.376633        3.724062
LBFGS:    6 23:06:11     -204.003448        3.202227
LBFGS:    7 23:06:11     -205.713165        4.149274
LBFGS:    8 23:06:11     -206.882202        2.978858
LBFGS:    9 23:06:11     -208.780090        2.739563
LBFGS:   10 23:06:11     -209.926941        2.194524
LBFGS:   11 23:06:12     -210.651978        1.970530
